ts,motor_rpm,pressure_bar,axis1_torque,motor_temp,servo_current,servo_voltage,axis2_position,axis2_velocity,axis1_velocity,axis1_position
101,1519.031,5.189,61.864,65.128,5.974,48.016,74.285,55.988,298.467,31.207
102,1519.211,5.192,61.963,65.126,5.981,48.017,74.331,55.724,298.166,31.49
103,1519.41,5.193,62.065,65.13,5.989,48.017,74.383,55.462,297.849,31.806
104,1519.665,5.195,62.168,65.132,5.998,48.016,74.452,55.207,297.548,32.101
105,1519.838,5.198,62.259,65.13,6.006,48.016,74.505,54.943,297.238,32.396
106,1519.938,5.199,62.353,65.13,6.017,48.017,74.557,54.676,296.891,32.693
107,1520.207,5.2,62.454,65.138,6.026,48.016,74.612,54.412,296.566,32.976
108,1520.355,5.202,62.55,65.134,6.031,48.017,74.674,54.139,296.253,33.273
109,1520.464,5.205,62.643,65.141,6.043,48.017,74.715,53.868,295.937,33.569
110,1520.65,5.207,62.744,65.137,6.051,48.018,74.765,53.599,295.598,33.881
111,1520.868,5.209,62.843,65.138,6.059,48.018,74.836,53.339,295.261,34.167
112,1521.109,5.21,62.947,65.141,6.066,48.017,74.877,53.083,294.924,34.469
113,1521.335,5.213,63.045,65.14,6.077,48.019,74.925,52.82,294.59,34.762
114,1521.567,5.213,63.124,65.141,6.083,48.017,74.988,52.535,294.22,35.053
115,1521.627,5.216,63.226,65.148,6.094,48.017,75.031,52.273,293.863,35.354
116,1521.883,5.217,63.311,65.143,6.099,48.018,75.094,52.002,293.541,35.645
117,1521.947,5.22,63.415,65.145,6.11,48.019,75.133,51.739,293.177,35.929
118,1522.264,5.221,63.508,65.144,6.116,48.018,75.189,51.482,292.83,36.219
119,1522.4,5.223,63.605,65.147,6.126,48.018,75.241,51.208,292.479,36.525
120,1522.504,5.226,63.687,65.152,6.133,48.02,75.29,50.945,292.101,36.805
121,1522.882,5.227,63.779,65.153,6.142,48.018,75.352,50.676,291.746,37.101
122,1522.941,5.229,63.871,65.156,6.149,48.02,75.389,50.401,291.363,37.396
123,1523.093,5.232,63.957,65.151,6.157,48.019,75.447,50.145,290.996,37.69
124,1523.332,5.234,64.056,65.157,6.167,48.019,75.49,49.872,290.62,37.968
125,1523.554,5.235,64.146,65.161,6.175,48.02,75.553,49.595,290.252,38.275
126,1523.67,5.236,64.234,65.161,6.184,48.021,75.601,49.328,289.867,38.566
127,1523.895,5.239,64.322,65.161,6.191,48.02,75.638,49.062,289.486,38.848
128,1524.153,5.24,64.404,65.165,6.198,48.02,75.699,48.796,289.085,39.136
129,1524.321,5.241,64.496,65.166,6.207,48.02,75.738,48.521,288.694,39.418
130,1524.47,5.244,64.571,65.167,6.217,48.021,75.796,48.253,288.319,39.724
131,1524.633,5.245,64.67,65.164,6.225,48.021,75.834,47.998,287.916,39.993
132,1524.798,5.248,64.754,65.162,6.233,48.021,75.882,47.717,287.513,40.295
133,1525.057,5.249,64.839,65.165,6.24,48.022,75.939,47.443,287.146,40.577
134,1525.292,5.251,64.917,65.168,6.247,48.021,75.976,47.183,286.736,40.866
135,1525.49,5.254,65.012,65.173,6.254,48.021,76.04,46.909,286.325,41.158
136,1525.592,5.255,65.094,65.167,6.261,48.021,76.069,46.637,285.9,41.431
137,1525.704,5.256,65.173,65.169,6.271,48.021,76.119,46.378,285.526,41.733
138,1526.077,5.258,65.253,65.177,6.279,48.022,76.172,46.1,285.099,42.018
139,1526.247,5.26,65.34,65.174,6.288,48.022,76.206,45.83,284.661,42.289
140,1526.419,5.263,65.419,65.178,6.292,48.021,76.253,45.558,284.257,42.581
141,1526.607,5.264,65.495,65.176,6.301,48.023,76.306,45.29,283.834,42.865
142,1526.676,5.266,65.561,65.181,6.311,48.022,76.346,45.007,283.396,43.149
143,1526.855,5.269,65.641,65.182,6.318,48.023,76.39,44.742,283.001,43.431
144,1527.011,5.27,65.735,65.178,6.324,48.023,76.445,44.467,282.565,43.707
